Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
94999.9,30,29,30,17,15,15,2,0.920936,0.180385,0.0625
96000,30,30,30,18,16,16,2,1,0.15043,0
97000,30,29,30,17,16,16,1,0.940814,0.172097,0.0625
98000,30,30,30,16,14,14,2,0.97619,0.177438,0
99000,30,29,30,12,12,12,0,0.969444,0.263598,0.0909091
100000,30,29,30,12,11,11,1,1,0.188271,0.0909091
101000,30,30,30,16,14,14,2,1,0.183785,0
102000,30,29,30,15,15,15,0,0.952381,0.221749,0.0714286
103000,30,29,30,16,16,16,0,0.943182,0.222027,0.0666667
104000,30,28,30,16,13,13,3,0.983516,0.157506,0.133333
105000,30,29,30,15,13,13,2,0.962865,0.2029,0.0714286
106000,30,30,30,20,18,18,2,0.928241,0.158122,0
107000,30,30,30,17,16,16,1,0.995536,0.16285,0
108000,30,30,30,17,16,16,1,0.995833,0.191599,0
109000,30,30,30,14,13,13,1,0.964497,0.19314,0
110000,30,29,30,13,12,12,1,1,0.195321,0.0833333
111000,30,30,30,17,14,14,3,0.979167,0.163327,0
112000,30,30,30,12,11,11,1,0.922559,0.283971,0
113000,30,29,30,17,17,17,0,1,0.190261,0.0625
114000,30,29,30,15,12,12,3,1,0.246018,0.0714286
115000,30,30,30,13,12,12,1,0.977778,0.186977,0
116000,30,29,30,16,15,15,1,0.954667,0.161311,0.0666667
117000,30,29,30,18,16,16,2,1,0.155097,0.0588235
118000,30,29,30,16,15,15,1,0.975,0.207744,0.0666667
119000,30,29,30,19,16,16,3,0.923194,0.142632,0.0555556
120000,30,30,30,14,12,12,2,0.918155,0.233536,0
121000,30,30,30,11,11,11,0,0.9279,0.275262,0
122000,30,30,30,14,13,13,1,1,0.206004,0
123000,30,30,30,20,18,18,2,1,0.148588,0
124000,30,30,30,12,11,11,1,1,0.197969,0
125000,30,30,30,20,19,19,1,0.929543,0.184117,0
126000,30,30,30,16,16,16,0,0.96875,0.20492,0
127000,30,29,30,12,12,12,0,1,0.202754,0.0909091
128000,30,30,30,16,15,15,1,1,0.177156,0
129000,30,29,30,19,17,17,2,0.977376,0.17728,0.0555556
130000,30,29,30,19,18,18,1,0.947344,0.140891,0.0555556
131000,30,29,30,12,10,10,2,1,0.220129,0.0909091
132000,30,30,30,18,15,15,3,1,0.165394,0
133000,30,30,30,16,15,15,1,1,0.190646,0
134000,30,29,30,14,13,13,1,1,0.191173,0.0769231
135000,30,29,30,17,17,17,0,1,0.14921,0.0625
136000,30,29,30,16,16,16,0,0.938161,0.182931,0.0625
137000,30,28,30,19,18,18,1,0.992337,0.144488,0.111111
138000,30,29,30,17,16,16,1,0.991667,0.161537,0.0625
139000,30,28,30,15,13,13,2,0.934245,0.207535,0.142857
140000,30,30,30,17,16,16,1,1,0.174538,0
141000,30,30,30,15,14,14,1,0.931973,0.23069,0
142000,30,30,30,19,16,16,3,1,0.151253,0
143000,30,30,30,18,16,16,2,0.967593,0.165822,0
144000,30,30,30,15,12,12,3,0.982456,0.20761,0
145000,30,29,30,19,17,17,2,1,0.154419,0.0555556
146000,30,30,30,19,16,16,3,1,0.156091,0
147000,30,29,30,17,16,16,1,1,0.146856,0.0625
148000,30,29,30,17,15,15,2,1,0.158311,0.0625
149000,30,29,30,13,12,12,1,1,0.195905,0.0833333
150000,30,29,30,18,16,16,2,0.954408,0.16612,0.0588235
151000,30,30,30,16,16,16,0,0.978448,0.203252,0
152000,30,30,30,17,17,17,0,0.971867,0.202679,0
153000,30,30,30,18,17,17,1,0.942048,0.188575,0
154000,30,30,30,13,12,12,1,0.95977,0.203005,0
155000,30,30,30,14,14,14,0,0.934568,0.240591,0
156000,30,30,30,17,15,15,2,1,0.163873,0
157000,30,28,30,10,10,10,0,1,0.242867,0.222222
158000,30,30,30,15,14,14,1,0.954082,0.213823,0
159000,30,29,30,15,13,13,2,1,0.184845,0.0714286
160000,30,30,30,19,17,17,2,0.970588,0.201722,0
161000,30,29,30,16,15,15,1,1,0.169464,0.0666667
162000,30,30,30,12,12,12,0,1,0.25847,0
163000,30,30,30,13,13,13,0,1,0.240072,0
164000,30,30,30,17,15,15,2,0.947619,0.216583,0
165000,30,29,30,19,18,18,1,0.978632,0.148106,0.0526316
166000,30,29,30,16,16,16,0,1,0.180443,0.0666667
167000,30,29,30,17,17,17,0,0.905929,0.194057,0.0625
168000,30,29,30,16,16,16,0,0.956019,0.206663,0.0666667
169000,30,29,30,17,15,15,2,1,0.174559,0.0625
170000,30,30,30,18,16,16,2,0.991071,0.164273,0
171000,30,30,30,15,15,15,0,0.995238,0.199016,0
172000,30,28,30,17,16,16,1,0.96875,0.146132,0.125
173000,30,30,30,14,12,12,2,1,0.205592,0
174000,30,30,30,17,15,15,2,1,0.198428,0
175000,30,30,30,15,13,13,2,0.87265,0.286158,0
176000,30,29,30,11,11,11,0,1,0.265,0.1
177000,30,30,30,14,12,12,2,1,0.220401,0
178000,30,30,30,16,15,15,1,0.905436,0.197971,0
179000,30,30,30,17,16,16,1,0.936961,0.185439,0
180000,30,30,30,16,14,14,2,1,0.181348,0
181000,30,30,30,18,17,17,1,1,0.157265,0
182000,30,28,30,14,13,13,1,1,0.190865,0.153846
183000,30,30,30,18,17,17,1,0.947964,0.205543,0
184000,30,29,30,12,12,12,0,1,0.205269,0.0833333
185000,30,28,30,14,13,13,1,0.972028,0.192571,0.153846
186000,30,29,30,15,15,15,0,0.995062,0.21522,0.0714286
187000,30,30,30,16,14,14,2,0.914443,0.1761,0
188000,30,30,30,20,18,18,2,0.962963,0.151021,0
189000,30,30,30,20,20,20,0,1,0.165743,0
190000,30,30,30,16,15,15,1,0.875581,0.200408,0
191000,30,29,30,16,15,15,1,0.963218,0.148387,0.0666667
192000,30,29,30,17,16,16,1,1,0.198656,0.0625
193000,30,30,30,22,20,20,2,0.918696,0.154645,0
194000,30,30,30,13,11,11,2,1,0.266608,0
195000,30,29,30,17,16,16,1,1,0.162917,0.0625
196000,30,29,30,18,17,17,1,0.955294,0.166708,0.0588235
197000,30,29,30,14,12,12,2,0.981481,0.21945,0.0769231
198000,30,29,30,13,13,13,0,0.953846,0.261491,0.0833333
199000,30,30,30,14,13,13,1,0.964497,0.168241,0
200000,30,30,30,15,13,13,2,0.975385,0.190137,0
